name,sku,price,description,category,stock_quantity,regular_price
原味可頌,croissant-plain,70,每日新鮮出爐，酥脆層次分明,可頌,30,70
巧克力可頌,croissant-chocolate,80,比利時黑巧克力，濃郁順滑,可頌,25,80
芋泥可頌,croissant-taro,75,綿密芋泥，香氣十足,可頌,20,75
鹹派雞肉,savory-pie-chicken,125,起司與香草香料，嫩滑法式雞肉,鹹派,20,125
鹹派培根,savory-pie-bacon,125,培根與紅洋蔥，鹹香酥脆,鹹派,20,125
法棍,baguette,95,傳統法式做法，外脆內軟,麵包,15,95
咖啡核桃,bread-coffee-walnut,120,濃郁咖啡香配脆核桃，300g,麵包,20,120
巧克力葡萄乾,bread-chocolate-raisin,120,比利時巧克力配葡萄乾，300g,麵包,20,120
抹茶,bread-matcha,120,日本抹茶香氣，清爽滋味，300g,麵包,20,120
巧克力覆盆子,dessert-chocolate-raspberry,175,濃郁巧克力配覆盆子,法式甜點,15,175
紅心芭樂芒果,dessert-guava-mango,165,新鮮芭樂配芒果香,法式甜點,15,165
抹茶柚子,dessert-matcha-yuzu,165,抹茶苦香配柚子清爽,法式甜點,15,165
栗子伯爵,dessert-chestnut-earl,165,栗子香甜與伯爵茶香,法式甜點,15,165
玫瑰草莓覆盆子,dessert-rose-strawberry-raspberry,165,玫瑰花香配莓果酸甜,法式甜點,15,165
生日蛋糕-5吋-紅心芭樂,cake-5in-guava,950,新鮮紅心芭樂，酸甜清爽,生日蛋糕,5,950
生日蛋糕-5吋-芒果,cake-5in-mango,950,濃郁芒果香，果肉飽滿,生日蛋糕,5,950
生日蛋糕-5吋-玫瑰,cake-5in-rose,950,玫瑰花香，優雅迷人,生日蛋糕,5,950
生日蛋糕-5吋-草莓覆盆子,cake-5in-strawberry-raspberry,950,新鮮莓果，酸甜適中,生日蛋糕,5,950
生日蛋糕-5吋-巧克力覆盆子,cake-5in-chocolate-raspberry,950,濃郁巧克力配覆盆子,生日蛋糕,5,950
生日蛋糕-6吋-紅心芭樂,cake-6in-guava,1250,新鮮紅心芭樂，酸甜清爽,生日蛋糕,8,1250
生日蛋糕-6吋-芒果,cake-6in-mango,1250,濃郁芒果香，果肉飽滿,生日蛋糕,8,1250
生日蛋糕-6吋-玫瑰,cake-6in-rose,1250,玫瑰花香，優雅迷人,生日蛋糕,8,1250
生日蛋糕-6吋-草莓覆盆子,cake-6in-strawberry-raspberry,1250,新鮮莓果，酸甜適中,生日蛋糕,8,1250
生日蛋糕-6吋-巧克力覆盆子,cake-6in-chocolate-raspberry,1250,濃郁巧克力配覆盆子,生日蛋糕,8,1250
生日蛋糕-8吋-紅心芭樂,cake-8in-guava,1600,新鮮紅心芭樂，酸甜清爽,生日蛋糕,6,1600
生日蛋糕-8吋-芒果,cake-8in-mango,1600,濃郁芒果香，果肉飽滿,生日蛋糕,6,1600
生日蛋糕-8吋-玫瑰,cake-8in-rose,1600,玫瑰花香，優雅迷人,生日蛋糕,6,1600
生日蛋糕-8吋-草莓覆盆子,cake-8in-strawberry-raspberry,1600,新鮮莓果，酸甜適中,生日蛋糕,6,1600
生日蛋糕-8吋-巧克力覆盆子,cake-8in-chocolate-raspberry,1600,濃郁巧克力配覆盆子,生日蛋糕,6,1600
生日蛋糕-9吋-紅心芭樂,cake-9in-guava,2200,新鮮紅心芭樂，酸甜清爽,生日蛋糕,4,2200
生日蛋糕-9吋-芒果,cake-9in-mango,2200,濃郁芒果香，果肉飽滿,生日蛋糕,4,2200
生日蛋糕-9吋-玫瑰,cake-9in-rose,2200,玫瑰花香，優雅迷人,生日蛋糕,4,2200
生日蛋糕-9吋-草莓覆盆子,cake-9in-strawberry-raspberry,2200,新鮮莓果，酸甜適中,生日蛋糕,4,2200
生日蛋糕-9吋-巧克力覆盆子,cake-9in-chocolate-raspberry,2200,濃郁巧克力配覆盆子,生日蛋糕,4,2200
生日蛋糕-10吋-紅心芭樂,cake-10in-guava,2800,新鮮紅心芭樂，酸甜清爽,生日蛋糕,3,2800
生日蛋糕-10吋-芒果,cake-10in-mango,2800,濃郁芒果香，果肉飽滿,生日蛋糕,3,2800
生日蛋糕-10吋-玫瑰,cake-10in-rose,2800,玫瑰花香，優雅迷人,生日蛋糕,3,2800
生日蛋糕-10吋-草莓覆盆子,cake-10in-strawberry-raspberry,2800,新鮮莓果，酸甜適中,生日蛋糕,3,2800
生日蛋糕-10吋-巧克力覆盆子,cake-10in-chocolate-raspberry,2800,濃郁巧克力配覆盆子,生日蛋糕,3,2800
生日蛋糕-5吋-栗子伯爵,cake-5in-chestnut-earl,950,栗子香甜，伯爵茶香,生日蛋糕,5,950
生日蛋糕-5吋-抹茶柚子,cake-5in-matcha-yuzu,950,抹茶苦香配柚子酸爽,生日蛋糕,5,950
生日蛋糕-5吋-芒果覆盆子,cake-5in-mango-raspberry,950,芒果香甜配覆盆子酸,生日蛋糕,5,950
生日蛋糕-6吋-栗子伯爵,cake-6in-chestnut-earl,1250,栗子香甜，伯爵茶香,生日蛋糕,8,1250
生日蛋糕-6吋-抹茶柚子,cake-6in-matcha-yuzu,1250,抹茶苦香配柚子酸爽,生日蛋糕,8,1250
生日蛋糕-6吋-芒果覆盆子,cake-6in-mango-raspberry,1250,芒果香甜配覆盆子酸,生日蛋糕,8,1250
生日蛋糕-8吋-栗子伯爵,cake-8in-chestnut-earl,1600,栗子香甜，伯爵茶香,生日蛋糕,6,1600
生日蛋糕-8吋-抹茶柚子,cake-8in-matcha-yuzu,1600,抹茶苦香配柚子酸爽,生日蛋糕,6,1600
生日蛋糕-8吋-芒果覆盆子,cake-8in-mango-raspberry,1600,芒果香甜配覆盆子酸,生日蛋糕,6,1600
生日蛋糕-9吋-栗子伯爵,cake-9in-chestnut-earl,2200,栗子香甜，伯爵茶香,生日蛋糕,4,2200
生日蛋糕-9吋-抹茶柚子,cake-9in-matcha-yuzu,2200,抹茶苦香配柚子酸爽,生日蛋糕,4,2200
生日蛋糕-9吋-芒果覆盆子,cake-9in-mango-raspberry,2200,芒果香甜配覆盆子酸,生日蛋糕,4,2200
生日蛋糕-10吋-栗子伯爵,cake-10in-chestnut-earl,2800,栗子香甜，伯爵茶香,生日蛋糕,3,2800
生日蛋糕-10吋-抹茶柚子,cake-10in-matcha-yuzu,2800,抹茶苦香配柚子酸爽,生日蛋糕,3,2800
生日蛋糕-10吋-芒果覆盆子,cake-10in-mango-raspberry,2800,芒果香甜配覆盆子酸,生日蛋糕,3,2800
名字加購,addon-name,100,在蛋糕上加印名字,生日蛋糕,999,100
